Accession	Species	Class
PsCD00331223	Pseudomonas syringae	1
PpCD00331224	Pseudomonas putida	0
YsCD00331225	Yersinia pseudotuberculosis	1
YsCD00331226	Yersinia pseudotuberculosis	1
YeCD00331227	Yersinia enterocolitica	1
YsCD00331228	Yersinia pseudotuberculosis	1
YsCD00331229	Yersinia pseudotuberculosis	1
YsCD00331230	Yersinia pseudotuberculosis	1
YsCD00331231	Yersinia pseudotuberculosis	1
YsCD00331232	Yersinia pseudotuberculosis	1
YsCD00331233	Yersinia pseudotuberculosis	1
YsCD00331234	Yersinia pseudotuberculosis	1
YsCD00331235	Yersinia pseudotuberculosis	1
YsCD00331236	Yersinia pseudotuberculosis	1
YsCD00331237	Yersinia pseudotuberculosis	1
YsCD00331238	Yersinia pseudotuberculosis	1
YeCD00331239	Yersinia enterocolitica	1
RgCD00331240	Ruminococcus gnavus	0
RoCD00331241	Ruminococcus obeum	1
RoCD00331242	Ruminococcus obeum	1
RgCD00331243	Ruminococcus gnavus	1
RgCD00331244	Ruminococcus gnavus	0
RgCD00331245	Ruminococcus gnavus	1
RoCD00331246	Ruminococcus obeum	1
RoCD00331247	Ruminococcus obeum	1
RoCD00331248	Ruminococcus obeum	1
RoCD00331249	Ruminococcus obeum	1
CsCD00331250	Clostridium scindens	0
CsCD00331251	Clostridium scindens	0
CsCD00331252	Clostridium scindens	0
CsCD00331253	Clostridium scindens	1
CsCD00331254	Clostridium scindens	0
CsCD00331255	Clostridium scindens	1
CsCD00331256	Clostridium scindens	1
CsCD00331257	Clostridium scindens	0
CsCD00331258	Clostridium scindens	0
CsCD00331259	Clostridium scindens	0
CsCD00331260	Clostridium scindens	0
CsCD00331261	Clostridium scindens	0
CsCD00331262	Clostridium scindens	0
CsCD00331263	Clostridium scindens	1
FnCD00331264	Fusobacterium nucleatum	1
FnCD00331265	Fusobacterium nucleatum	0
FnCD00331266	Fusobacterium nucleatum	1
FnCD00331267	Fusobacterium nucleatum	1
FnCD00331268	Fusobacterium nucleatum	1
FnCD00331269	Fusobacterium nucleatum	1
FnCD00331270	Fusobacterium nucleatum	1
FnCD00331271	Fusobacterium nucleatum	1
FnCD00331272	Fusobacterium nucleatum	0
FnCD00331273	Fusobacterium nucleatum	1
FnCD00331274	Fusobacterium nucleatum	0
FnCD00331275	Fusobacterium nucleatum	1
RoCD00331276	Ruminococcus obeum	1
FnCD00331277	Fusobacterium nucleatum	1
FnCD00331278	Fusobacterium nucleatum	0
FnCD00331279	Fusobacterium nucleatum	1
ApCD00331280	Actinobacillus pleuropneumoniae	1
ApCD00331281	Actinobacillus pleuropneumoniae	1
ReCD00331282	Rhizobium etli	0
ReCD00331283	Rhizobium etli	0
ReCD00331284	Rhizobium etli	0
ReCD00331285	Rhizobium etli	0
ReCD00331286	Rhizobium etli	0
RdCD00331287	Roseobacter denitrificans	1
RdCD00331288	Roseobacter denitrificans	0
RdCD00331289	Roseobacter denitrificans	0
RdCD00331290	Roseobacter denitrificans	0
PfCD00331291	Pyrococcus furiosus	1
PfCD00331293	Pyrococcus furiosus	1
PfCD00331294	Pyrococcus furiosus	0
PfCD00331295	Pyrococcus furiosus	0
PfCD00331297	Pyrococcus furiosus	1
PfCD00331298	Pyrococcus furiosus	1
PfCD00331299	Pyrococcus furiosus	1
PfCD00331300	Pyrococcus furiosus	0
PfCD00331301	Pyrococcus furiosus	1
PfCD00331302	Pyrococcus furiosus	1
PfCD00331303	Pyrococcus furiosus	0
PfCD00331304	Pyrococcus furiosus	1
PfCD00331305	Pyrococcus furiosus	0
PfCD00331306	Pyrococcus furiosus	1
PfCD00331307	Pyrococcus furiosus	1
PfCD00331309	Pyrococcus furiosus	1
PfCD00331310	Pyrococcus furiosus	0
SaCD00331311	Staphylococcus aureus	1
SaCD00331312	Staphylococcus aureus	1
SaCD00331313	Staphylococcus aureus	0
SaCD00331314	Staphylococcus aureus	1
SaCD00331315	Staphylococcus aureus	1
SaCD00331316	Staphylococcus aureus	1
SaCD00331317	Staphylococcus aureus	1
SaCD00331318	Staphylococcus aureus	1
SaCD00331319	Staphylococcus aureus	1
SaCD00331320	Staphylococcus aureus	1
SaCD00331321	Staphylococcus aureus	1
SaCD00331322	Staphylococcus aureus	1
SaCD00331323	Staphylococcus aureus	1
SaCD00331324	Staphylococcus aureus	1
SaCD00331325	Staphylococcus aureus	1
EcCD00331326	Escherichia coli	1
EcCD00331327	Escherichia coli	1
EcCD00331328	Escherichia coli	1
EcCD00331329	Escherichia coli	1
EcCD00331330	Escherichia coli	0
EcCD00331331	Escherichia coli	1
EcCD00331332	Escherichia coli	1
EcCD00331333	Escherichia coli	1
EcCD00331334	Escherichia coli	1
EcCD00331336	Escherichia coli	1
EcCD00331340	Escherichia coli	1
EcCD00331341	Escherichia coli	1
EcCD00331343	Escherichia coli	1
EcCD00331344	Escherichia coli	1
EcCD00331345	Escherichia coli	1
EcCD00331347	Escherichia coli	1
EcCD00331348	Escherichia coli	1
EcCD00331350	Escherichia coli	1
EcCD00331351	Escherichia coli	1
EcCD00331352	Escherichia coli	1
EcCD00331353	Escherichia coli	1
EcCD00331355	Escherichia coli	1
EcCD00331356	Escherichia coli	0
EcCD00331359	Escherichia coli	1
EcCD00331361	Escherichia coli	1
EcCD00331363	Escherichia coli	1
EcCD00331365	Escherichia coli	1
EcCD00331368	Escherichia coli	0
EcCD00331369	Escherichia coli	1
EcCD00331370	Escherichia coli	0
EcCD00331371	Escherichia coli	1
EcCD00331372	Escherichia coli	1
EcCD00331373	Escherichia coli	1
EcCD00331375	Escherichia coli	1
EcCD00331376	Escherichia coli	1
EcCD00331379	Escherichia coli	1
EcCD00331382	Escherichia coli	0
EcCD00331383	Escherichia coli	0
EcCD00331384	Escherichia coli	1
EcCD00331385	Escherichia coli	0
EcCD00331386	Escherichia coli	1
EcCD00331387	Escherichia coli	0
EcCD00331388	Escherichia coli	1
EcCD00331389	Escherichia coli	1
EcCD00331390	Escherichia coli	0
EcCD00331391	Escherichia coli	1
PpCD00331450	Pseudomonas putida	0
PpCD00331451	Pseudomonas putida	0
MbCD00331452	Mycobacterium bovis	1
DrCD00331453	Deinococcus radiodurans	0
CvCD00331454	Chromobacterium violaceum	1
XfCD00331455	Xylella fastidiosa	1
XfCD00331456	Xylella fastidiosa	1
XfCD00331457	Xylella fastidiosa	1
XfCD00331458	Xylella fastidiosa	1
XfCD00331459	Xylella fastidiosa	1
XaCD00331460	Xanthomonas axonopodis	1
XaCD00331461	Xanthomonas axonopodis	0
VpCD00331462	Vibrio parahaemolyticus	0
VpCD00331463	Vibrio parahaemolyticus	1
VpCD00331464	Vibrio parahaemolyticus	1
VpCD00331465	Vibrio parahaemolyticus	1
VcCD00331466	Vibrio cholerae	1
VcCD00331467	Vibrio cholerae	1
VcCD00331468	Vibrio cholerae	1
VcCD00331469	Vibrio cholerae	1
RgCD00331470	Ruminococcus gnavus	1
BcCD00331471	Burkholderia cepacia	1
RgCD00331472	Ruminococcus gnavus	0
RgCD00331473	Ruminococcus gnavus	1
BcCD00331474	Burkholderia cepacia	0
RgCD00331475	Ruminococcus gnavus	1
BcCD00331476	Burkholderia cepacia	1
RgCD00331477	Ruminococcus gnavus	1
RgCD00331478	Ruminococcus gnavus	1
RgCD00331479	Ruminococcus gnavus	1
RgCD00331480	Ruminococcus gnavus	1
BtCD00331481	Burkholderia thailandensis	0
RgCD00331482	Ruminococcus gnavus	0
RgCD00331483	Ruminococcus gnavus	1
MtCD00331484	Methanothermobacter thermautotrophicus	1
MtCD00331485	Methanothermobacter thermautotrophicus	1
MtCD00331486	Methanothermobacter thermautotrophicus	1
MtCD00331487	Methanothermobacter thermautotrophicus	1
MtCD00331488	Methanothermobacter thermautotrophicus	1
MtCD00331489	Methanothermobacter thermautotrophicus	1
PpCD00331527	Pediococcus pentosaceus	1
PpCD00331528	Pediococcus pentosaceus	1
PpCD00331529	Pediococcus pentosaceus	1
PpCD00331530	Pediococcus pentosaceus	1
PpCD00331531	Pediococcus pentosaceus	1
PpCD00331532	Pediococcus pentosaceus	1
PpCD00331533	Pediococcus pentosaceus	1
PpCD00331534	Pediococcus pentosaceus	1
PpCD00331535	Pediococcus pentosaceus	1
PpCD00331536	Pediococcus pentosaceus	1
PpCD00331537	Pediococcus pentosaceus	1
PpCD00331538	Pediococcus pentosaceus	1
PpCD00331539	Pediococcus pentosaceus	1
PpCD00331540	Pediococcus pentosaceus	1
PpCD00331541	Pediococcus pentosaceus	1
PpCD00331542	Pediococcus pentosaceus	1
PpCD00331543	Pediococcus pentosaceus	1
PpCD00331544	Pediococcus pentosaceus	1
PpCD00331545	Pediococcus pentosaceus	1
PpCD00331546	Pediococcus pentosaceus	1
PpCD00331547	Pediococcus pentosaceus	1
PpCD00331548	Pediococcus pentosaceus	1
PpCD00331549	Pediococcus pentosaceus	1
PpCD00331550	Pediococcus pentosaceus	1
PpCD00331551	Pediococcus pentosaceus	1
PpCD00331552	Pediococcus pentosaceus	1
PpCD00331553	Pediococcus pentosaceus	1
PpCD00331554	Pediococcus pentosaceus	1
PpCD00331555	Pediococcus pentosaceus	1
PpCD00331556	Pediococcus pentosaceus	1
MaCD00331557	Methanosarcina acetivorans	0
MaCD00331558	Methanosarcina acetivorans	0
MaCD00331559	Methanosarcina acetivorans	1
MaCD00331560	Methanosarcina acetivorans	0
BtCD00331561	Bacteroides thetaiotaomicron	1
BtCD00331562	Bacteroides thetaiotaomicron	1
SsCD00331563	Synechocystis sp. PCC 6803	1
TvCD00331564	Thermoplasma volcanium	1
TvCD00331565	Thermoplasma volcanium	1
TvCD00331566	Thermoplasma volcanium	1
PmCD00331567	Pyrococcus horikoshii	1
